,dis _loss1,dis_acc1,gen_loss1,dis _loss2,dis_acc2,gen_loss2,dis _loss3,dis_acc3,gen_loss3,dis _loss4,dis_acc4,gen_loss4
200,0.56336,73.13,2.024297,0.632081,65.71,1.386052,0.692255,58.25,0.999697,1.180583,16.39,0.577298
400,0.532657,72.95,2.112993,0.580262,68.88,1.567226,0.718641,49.84,0.838563,0.912273,17.81,0.668466
600,0.492375,75.74,2.115549,0.564078,70.01,1.523388,0.69269,53.04,0.811443,0.808864,19.39,0.718008
800,0.457604,78.49,2.117777,0.501082,75.57,1.754221,0.688541,53.14,0.807259,0.757828,22.36,0.712707
1000,0.447496,79.8,2.094267,0.480187,76.76,1.879628,0.678777,54.95,0.810687,0.741014,28.4,0.71202
1200,0.385613,83.66,2.284896,0.433595,79.91,2.053215,0.675559,55.51,0.813934,0.731459,28.62,0.713686
1400,0.354529,85.38,2.468326,0.401084,82.27,2.178045,0.673194,56.21,0.817114,0.726514,29.82,0.712279
1600,0.307003,88.04,2.749548,0.378309,83.56,2.336488,0.668362,57.39,0.827074,0.721615,31.75,0.70557
1800,0.276578,89.33,3.026212,0.344457,85.43,2.564751,0.661006,58.22,0.839958,0.715769,36.13,0.710107
2000,0.239456,91.13,3.340802,0.326421,86.54,2.729978,0.653188,60.39,0.854119,0.714028,33.87,0.709386
2200,0.222712,91.63,3.614943,0.300096,87.73,2.861608,0.65272,60.36,0.867748,0.713805,34.43,0.701348
2400,0.188306,93.25,3.978894,0.289524,88.29,3.021507,0.640164,62.59,0.889401,0.714592,31.96,0.709908
2600,0.175454,93.68,4.26382,0.277706,88.69,3.207618,0.636992,62.9,0.90574,0.713215,33.55,0.703287
2800,0.240919,91.25,4.175336,0.249327,90.15,3.384194,0.626434,64.35,0.933119,0.708056,36.42,0.707582
3000,0.134242,95.48,4.599305,0.239578,90.54,3.596204,0.612801,66.02,0.96395,0.711019,35.35,0.704949
3200,0.1238,95.8,5.00789,0.223799,91.25,3.722697,0.600296,67.8,0.995955,0.708479,37.17,0.716926
3400,0.128271,95.51,5.216772,0.217398,91.48,3.903057,0.590333,68.49,1.033163,0.707024,36.78,0.709068
3600,0.122302,95.75,5.428185,0.207416,92.04,4.052091,0.575136,70.32,1.083285,0.706233,37.39,0.711027
3800,0.201055,92.96,5.384316,0.187915,92.85,4.212507,0.563733,71.04,1.114292,0.70697,36.61,0.706876
4000,0.12364,95.73,5.187007,0.20189,92.13,4.320042,0.549578,72.27,1.182642,0.708566,34.59,0.71042
4200,0.093315,96.91,5.863967,0.184547,92.91,4.441076,0.535348,73.38,1.237222,0.707837,35.49,0.704711
4400,0.093834,96.84,6.100361,0.169296,93.43,4.621645,0.514982,75.04,1.315887,0.706467,33.94,0.703875
4600,0.093456,96.73,6.262553,0.167293,93.5,4.705479,0.513821,75.19,1.339374,0.705604,36.35,0.70054
4800,0.091983,96.79,6.499677,0.17282,93.37,4.83962,0.508706,75.42,1.35419,0.705535,35.53,0.702364
5000,0.32826,90.68,5.054552,0.158637,93.81,5.003971,0.497252,75.78,1.417714,0.70284,37.75,0.701573
